Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3ZdJffjzJWFimSQyxgGIxN,"Just A Dream","5.0","Nelly",2010-11-12,237800,80,false,,2017-11-18T00:59:34Z,"","Motown",0.528,0.753,1,-6.162,1,0.0307,0.0424,0,0.12,0.103,89.954,4
spotify:track:3s4U7OHV7gnj42VV72eSZ6,"Rather Be (feat. Jess Glynne)","Rather Be (feat. Jess Glynne)","Clean Bandit;Jess Glynne",2014-01-17,227833,74,false,,2017-11-18T00:59:34Z,"","Atlantic Records",0.799,0.586,11,-6.735,1,0.0377,0.162,0.00000203,0.193,0.549,120.97,4
spotify:track:5vWvfzRoB7agB1NZ8hYPUk,"Halo (Instrumental Version)","Halo (Instrumental Version)","Cory",2014-11-01,227109,24,false,,2017-11-18T00:59:34Z,"","Beyoncé",0.448,0.321,2,-14.784,1,0.0378,0.849,0.967,0.188,0.117,155.97,4
spotify:track:66qlqxhEMpSHOzjRK4il0b,"Castle on the Hill","Castle on the Hill","Ed Sheeran",2017-01-06,261153,2,false,,2017-11-18T00:59:34Z,"soft pop","Atlantic Records UK",0.461,0.834,2,-4.868,1,0.0989,0.0232,0.0000114,0.14,0.471,135.007,4
spotify:track:1V6gIisPpYqgFeWbMLI0bA,"Heart Attack","Demi","Demi Lovato",2013-01-01,210840,81,false,,2017-11-18T00:59:34Z,"","Hollywood Records",0.504,0.785,8,-4.802,1,0.104,0.0738,0,0.239,0.502,173.968,4
spotify:track:12GEpg2XOPyqk03JZEZnJs,"It Ain’t Me (with Selena Gomez)","It Ain't Me","Kygo;Selena Gomez",2017-02-17,220780,66,false,,2017-11-18T00:59:34Z,"tropical house","Interscope",0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,4
spotify:track:4ASPjY65S7crmZBHML0L8d,"Reflection - From ""Mulan"" / Soundtrack Version","Disney's Greatest Volume 1","Lea Salonga;Disney",2001-01-01,146840,54,false,,2017-11-18T00:59:34Z,"","Walt Disney Records",0.283,0.29,9,-13.927,1,0.0347,0.799,0.00324,0.361,0.0772,91.763,4
spotify:track:6bLopGnirdrilrpdVB6Um1,"The Greatest","This Is Acting (Deluxe Version)","Sia",2016-10-21,210906,78,false,,2017-11-18T00:59:34Z,"","Monkey Puzzle Records/RCA Records",0.639,0.785,10,-6.167,0,0.174,0.0174,0.00107,0.0512,0.686,191.95,4
spotify:track:5JLv62qFIS1DR3zGEcApRt,"Wide Awake","Teenage Dream: The Complete Confection","Katy Perry",2012-03-12,220946,76,false,,2017-11-18T00:59:34Z,"pop","Capitol Records",0.515,0.683,5,-5.099,1,0.0371,0.0749,0.00000264,0.392,0.572,159.878,4
spotify:track:7D49Iig0avHre9RFSUMkd2,"I Lived","Native","OneRepublic",2014-01-01,234546,61,false,,2017-11-18T00:59:34Z,"soft pop","Mosley / Interscope",0.598,0.854,9,-5.429,1,0.0436,0.0746,0,0.278,0.311,119.976,4
spotify:track:6LBfozDVA7crIeuaPAVVlE,"You'll Be In My Heart","Tarzan Original Soundtrack","Phil Collins",1999-01-01,258146,0,false,,2017-11-18T00:59:34Z,"soft rock","EMI Marketing",0.568,0.746,8,-6.582,1,0.0293,0.0549,0.00000366,0.0966,0.626,96.626,4
spotify:track:1bpnYrDCforv9ctJMzJRV8,"Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003","Wicked","Stephen Schwartz;Kristin Chenoweth;Idina Menzel;Stephen Oremus",2003-01-01,353920,52,false,,2017-11-18T00:59:34Z,"score,musicals","Verve (Adult Contemporary)",0.314,0.378,1,-8.282,1,0.0339,0.722,0,0.0333,0.243,87.987,4
spotify:track:6rZVy6FIG7lSJQMFXHo12z,"New Romantics","1989 (Deluxe Edition)","Taylor Swift",2014-10-27,230466,61,false,,2017-11-18T00:59:34Z,"","Taylor Swift",0.633,0.889,5,-5.87,1,0.0715,0.00463,0.000458,0.0658,0.584,121.956,4
spotify:track:4esOae7i4rqTbAu9o5Pxco,"Girl on Fire","Girl on Fire (Remixes) - EP","Alicia Keys",2012-11-18,224920,78,false,,2017-11-18T00:59:34Z,"r&b,neo soul","RCA Records Label",0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,4
spotify:track:1cPfKp9ThNZ1fez9itmUMN,"Belle","Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition)","Emma Watson;Luke Evans;Ensemble - Beauty and the Beast",2017-03-10,333265,58,false,,2017-11-18T00:59:34Z,"","Walt Disney Records",0.524,0.504,7,-7.641,1,0.05,0.82,0,0.0817,0.327,123.66,4
spotify:track:0sXJUHfwsocaJaLM5osoWX,"Beauty and the Beast","Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition)","Emma Thompson",2017-03-10,199509,52,false,,2017-11-18T00:59:34Z,"musicals","Walt Disney Records",0.211,0.23,7,-12.518,0,0.0349,0.797,0.0000198,0.0991,0.102,87.641,4
spotify:track:5fVZC9GiM4e8vu99W0Xf6J,"How to Save a Life","How To Save A Life","The Fray",2005-09-13,262533,84,false,,2017-11-18T00:59:34Z,"","Epic",0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,4
spotify:track:6Cwil3IigcdgJt86P2dJXm,"Pokemon Theme","Pokemon Theme","Kurt Hugo Schneider;Lindsey Stirling",2013-09-26,200547,25,false,,2017-11-18T00:59:34Z,"classical crossover,christmas","mudhutdigital.com",0.394,0.882,7,-3.167,0,0.0459,0.0589,0.000046,0.414,0.34,145.911,4
spotify:track:5Z2Lrt0qVqfpqSlbDOqse9,"Part of Your World - From ""The Little Mermaid"" Soundtrack","Disney Princess: Fairy Tale Songs","Jodi Benson;Disney",2011-09-20,192773,26,false,,2017-11-18T00:59:34Z,"","Walt Disney Records",0.367,0.227,5,-10.948,1,0.0342,0.84,0.0000161,0.209,0.337,134.264,3
spotify:track:0ENSn4fwAbCGeFGVUbXEU3,"Hello","Hello","Adele",2015-10-23,295493,0,false,,2017-11-18T00:59:34Z,"soft pop","XL Recordings/Columbia",0.481,0.451,5,-6.095,0,0.0347,0.336,0,0.0872,0.289,157.966,4
spotify:track:1CwNogTShsnsn1C8UhRmYX,"Rise","Rise","Katy Perry",2016-07-15,203474,62,false,,2017-11-18T00:59:34Z,"pop","Capitol Records (CAP)",0.553,0.639,11,-6.445,1,0.0458,0.0468,0,0.107,0.443,101.416,4
spotify:track:6iaPmfQ7MtLGvWDKdQ8tWT,"Beauty and the Beast - From ""Beauty and the Beast"" / Soundtrack Version","Disney's Greatest Volume 1","Angela Lansbury;Disney",2001-01-01,165493,34,false,,2017-11-18T00:59:34Z,"","Walt Disney Records",0.307,0.105,5,-18.158,0,0.0351,0.769,0.00000193,0.15,0.189,86.074,4
spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,"Wrecking Ball","Bangerz (Deluxe Version)","Miley Cyrus",2013-10-04,221366,81,false,,2017-11-18T00:59:34Z,"","RCA Records Label",0.53,0.422,5,-6.262,1,0.0342,0.407,0,0.107,0.349,119.964,4
spotify:track:5M0j0DvBgr65ucv46jxkzE,"Viva La Vida","Music","David Garrett",2012,255336,44,false,,2017-11-18T00:59:34Z,"classical crossover,classical","Decca (UMO)",0.589,0.442,8,-7.113,1,0.0396,0.146,0.808,0.0978,0.515,137.983,4
spotify:track:4JehYebiI9JE8sR8MisGVb,"Halo","I AM...SASHA FIERCE","Beyoncé",2008-11-17,261640,75,false,,2017-11-18T00:59:34Z,"","Music World Music/Columbia",0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,4
spotify:track:3IPnBzGRMg6BfViFxxa0Gq,"Love Is an Open Door - From ""Frozen""/Soundtrack Version","Frozen (Original Motion Picture Soundtrack / Deluxe Edition)","Kristen Bell;Santino Fontana",2013-01-01,124733,70,false,,2017-11-18T00:59:34Z,"","Walt Disney Records",0.737,0.636,6,-6.308,0,0.0737,0.262,0,0.319,0.537,100.033,4
