Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6cmm1LMvZdB5zsCwX5BjqE,"Down","All Or Nothing","Jay Sean;Lil Wayne",2009-01-01,212506,82,false,,1970-01-01T00:00:00Z,"rap,hip hop","Cash Money",0.727,0.68,2,-4.498,1,0.0286,0.0101,0,0.0821,0.728,132.012,4
spotify:track:1mea3bSkSGXuIRvnydlB5b,"Viva La Vida","Viva La Vida or Death and All His Friends","Coldplay",2008-06-06,242373,88,false,,1970-01-01T00:00:00Z,"","Parlophone UK",0.486,0.617,5,-7.115,0,0.0287,0.0954,0.00000323,0.109,0.417,138.015,4
spotify:track:40LYL1Z6xgCn5cBybo5K0D,"It's Quiet Uptown","Hamilton (Original Broadway Cast Recording)","Renée Elise Goldsberry;Lin-Manuel Miranda;Phillipa Soo;Original Broadway Cast of Hamilton",2015-09-25,270171,65,false,,1970-01-01T00:00:00Z,"musicals","Atlantic Records",0.484,0.187,5,-14.076,1,0.0423,0.796,0,0.0785,0.227,129.753,4
spotify:track:0qOnSQQF0yzuPWsXrQ9paz,"Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes;Adam Levine",2011-11-11,210960,84,false,,1970-01-01T00:00:00Z,"","Decaydance/Fueled By Ramen",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
spotify:track:0kXIEwmKV4cpKdRdIeQLGd,"Something To Dance For - From ""Shake It Up""","Shake It Up: Live 2 Dance (Deluxe Edition)","Zendaya",2012-03-20,162920,40,false,,1970-01-01T00:00:00Z,"","Walt Disney Records",0.667,0.942,1,-5.567,0,0.0697,0.00493,0.00011,0.327,0.453,130.024,4
spotify:track:5M0j0DvBgr65ucv46jxkzE,"Viva La Vida","Music","David Garrett",2012,255336,44,false,,1970-01-01T00:00:00Z,"classical crossover,classical","Decca (UMO)",0.589,0.442,8,-7.113,1,0.0396,0.146,0.808,0.0978,0.515,137.983,4
spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,"Payphone","Overexposed","Maroon 5;Wiz Khalifa",2021-06-20,231386,69,true,,1970-01-01T00:00:00Z,"pop,rap","Interscope Records*",0.739,0.756,4,-4.828,1,0.0393,0.0136,0,0.37,0.522,110.028,4
spotify:track:0V2wvC5MkDjMZyFttv8sZF,"Dynamite (Instrumental)","Dynamite (DayTime Version)","BTS",2020-08-28,198770,37,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.861,0.658,11,-6.966,1,0.05,0.00903,0.803,0.0443,0.625,114,4
spotify:track:1nIDYHvLaZnD5lEf66SH80,"TTYLXOX - From ""Shake It Up""","TTYLXOX (From ""Shake It Up: Live 2 Dance"")","Bella Thorne",2012-01-01,154773,42,false,,1970-01-01T00:00:00Z,"","Walt Disney Records",0.819,0.683,7,-6.144,1,0.156,0.00291,0.122,0.254,0.671,112.007,4
spotify:track:2Rk4JlNc2TPmZe2af99d45,"ME! (feat. Brendon Urie of Panic! At The Disco)","Lover","Taylor Swift;Brendon Urie;Panic! At The Disco",2019-08-23,193000,73,false,,1970-01-01T00:00:00Z,"emo","Taylor Swift",0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,4
