Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,"Cruel Summer","Lover","Taylor Swift",2019-08-23,178426,88,false,,1970-01-01T00:00:00Z,"","Taylor Swift",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Seven (feat. Latto) (Explicit Ver.)","GOLDEN","Jung Kook;Latto",2023-11-03,183550,85,true,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.79,0.831,11,-4.185,1,0.044,0.312,0,0.0797,0.872,124.987,4
spotify:track:1RDvyOk4WtPCtoqciJwVn8,"Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","Jung Kook;BTS;FIFA Sound",2022-11-20,201391,4,false,,1970-01-01T00:00:00Z,"k-pop","Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC",0.71,0.879,0,-4.218,1,0.0422,0.158,0.00142,0.439,0.341,114.993,4
spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,"Dynamite","BE","BTS",2020-11-20,199053,80,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,4
spotify:track:6GXgd1BPD9bUpqw5AntGV5,"All You Had To Do Was Stay (Taylor's Version)","1989 (Taylor's Version)","Taylor Swift",2023-10-26,193289,65,false,,1970-01-01T00:00:00Z,"","Taylor Swift",0.589,0.713,0,-5.614,1,0.0308,0.000778,0,0.188,0.54,97.069,4
spotify:track:7IPANBylKzgHAIxIg58lwR,"See You Again (Epic Orchestral Version) - Cover","See You Again (Epic Orchestral Version) [Cover]","Samuel Kim",2020-02-03,189219,45,false,,1970-01-01T00:00:00Z,"anime","Samuel Kim Music",0.584,0.428,10,-9.546,1,0.0256,0.692,0.884,0.112,0.142,144.026,4
spotify:track:2D9mO7arRSeHAEHNVAacaA,"Seven (feat. Latto) (Instrumental)","Seven (feat. Latto)","Jung Kook;Latto",2023-07-14,184240,45,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.846,0.9,8,-6.179,0,0.0857,0.0479,0.839,0.0651,0.565,125.041,4
spotify:track:6L88EH68XwlaXwvChlTS41,"Epiphany","Love Yourself 結 'Answer'","BTS",2018-08-24,240361,68,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.508,0.559,2,-6.366,0,0.0276,0.288,0,0.131,0.329,135.866,4
spotify:track:2Rk4JlNc2TPmZe2af99d45,"ME! (feat. Brendon Urie of Panic! At The Disco)","Lover","Taylor Swift;Brendon Urie;Panic! At The Disco",2019-08-23,193000,73,false,,1970-01-01T00:00:00Z,"emo","Taylor Swift",0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,4
spotify:track:1XGmzt0PVuFgQYYnV2It7A,"Payphone","Overexposed Track By Track","Maroon 5;Wiz Khalifa",2012-01-01,231173,87,true,,1970-01-01T00:00:00Z,"pop,rap","Interscope Records*",0.743,0.752,4,-4.813,1,0.0414,0.0188,0,0.287,0.545,110.015,4
spotify:track:2Fs18NaCDuluPG1DHGw1XG,"Life is a Highway","Me And My Gang","Rascal Flatts",2006-11-13,276320,74,false,,1970-01-01T00:00:00Z,"country","Lyric Street",0.582,0.952,5,-3.848,1,0.0731,0.00324,0,0.223,0.655,103.027,4
spotify:track:5Odq8ohlgIbQKMZivbWkEo,"Left and Right (Feat. Jung Kook of BTS)","CHARLIE","Charlie Puth;Jung Kook;BTS",2022-10-06,154486,74,false,,1970-01-01T00:00:00Z,"soft pop,pop,k-pop","Atlantic Records",0.881,0.592,2,-4.898,1,0.0324,0.619,0.0000132,0.0901,0.719,101.058,4
spotify:track:4NNolUeL5m2ju7kf8pdg6H,"All You Had To Do Was Stay","1989","Taylor Swift",2014-01-01,193293,59,false,,1970-01-01T00:00:00Z,"","Taylor Swift",0.602,0.735,5,-5.778,1,0.0337,0.00196,0.0000477,0.105,0.472,96.969,4
spotify:track:0RoA7ObU6phWpqhlC9zH4Z,"A Million Dreams","The Greatest Showman (Original Motion Picture Soundtrack)","Ziv Zaifman;Hugh Jackman;Michelle Williams",2017-12-08,269453,76,false,,1970-01-01T00:00:00Z,"musicals","Atlantic Records",0.265,0.312,7,-11.689,1,0.0569,0.243,0,0.0893,0.0998,54.747,3
spotify:track:630sXRhIcfwr2e4RdNtjKN,"Rewrite The Stars","Rewrite The Stars","Zac Efron;Zendaya",2017-11-17,217440,76,false,,1970-01-01T00:00:00Z,"musicals","Atlantic Records",0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,4
spotify:track:01qFKNWq73UfEslI0GvumE,"3D (feat. Jack Harlow)","3D : The Remixes","Jung Kook;Jack Harlow",2023-10-02,201812,76,true,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.853,0.824,1,-3.287,1,0.103,0.0322,0,0.0859,0.888,108.044,4
spotify:track:4pJi1rVt9GNegU9kywjg4z,"Teardrops on My Guitar - Pop Version","Taylor Swift","Taylor Swift",2006-10-24,179066,52,false,,1970-01-01T00:00:00Z,"","Taylor Swift",0.459,0.753,10,-3.827,1,0.0537,0.0402,0,0.0863,0.483,199.997,4
