Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2qSkIjg1o9h3YT9RAgYN75,"Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,86,true,,1970-01-01T00:00:00Z,"pop","Island Records",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
spotify:track:2fPvQfGQEZOKtJ9qXeL4x8,"I Can Do It With a Broken Heart","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","Taylor Swift",2024-04-19,218004,72,true,,1970-01-01T00:00:00Z,"","Taylor Swift",0.701,0.751,0,-8.39,1,0.0502,0.123,0,0.15,0.22,129.994,4
spotify:track:5N3hjp1WNayUPZrA8kJmJP,"Please Please Please","Please Please Please","Sabrina Carpenter",2024-06-06,186365,80,true,,1970-01-01T00:00:00Z,"pop","Island Records",0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071,4
spotify:track:51ZQ1vr10ffzbwIjDCwqm4,"we can't be friends (wait for your love)","eternal sunshine","Ariana Grande",2024-03-08,228639,88,false,,1970-01-01T00:00:00Z,"pop","Republic Records",0.645,0.646,5,-8.334,1,0.0427,0.0615,0.0000304,0.074,0.295,115.842,4
spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,"Cruel Summer","Lover","Taylor Swift",2019-08-23,178426,88,false,,1970-01-01T00:00:00Z,"","Taylor Swift",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
spotify:track:1e8J3XClxZbFmvIHLI8CE4,"IDOL","Love Yourself 結 'Answer'","BTS",2018-08-24,222732,74,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.733,0.855,9,-3.211,1,0.118,0.00481,0,0.123,0.42,126.035,4
spotify:track:2Zo1PcszsT9WQ0ANntJbID,"Feather","emails i can’t send fwd:","Sabrina Carpenter",2023-03-17,185552,83,true,,1970-01-01T00:00:00Z,"pop","Island Records",0.791,0.694,6,-4.332,0,0.0335,0.0736,0.00000175,0.0958,0.826,123.508,4
spotify:track:2cE5PbW9PhPmnyETXqH3VE,"Grand Escape (Movie Edit) [feat. Toko Miura]","Weathering With You","RADWIMPS;Toko Miura",2019-07-19,188066,54,false,,1970-01-01T00:00:00Z,"anime,j-pop,j-rock,japanese indie","voque ting co., ltd.",0.461,0.423,4,-9.161,1,0.0369,0.486,0.00118,0.137,0.546,146.061,4
spotify:track:4NioO5R9sHEZh4cGzMHyNt,"Say Don't Go (Taylor's Version) (From The Vault)","1989 (Taylor's Version)","Taylor Swift",2023-10-26,279833,70,false,,1970-01-01T00:00:00Z,"","Taylor Swift",0.632,0.539,4,-8.375,1,0.0342,0.0684,0.00000582,0.132,0.186,109.962,4
spotify:track:2ngmiq1KoYn3x25VOmvd8F,"DNA","Love Yourself 結 'Answer'","BTS",2018-08-24,223122,72,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.599,0.775,1,-3.997,0,0.0542,0.022,0,0.0669,0.703,129.817,4
