Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7HFmkJSe8KTz20Cv085eDk,"Fireflies (Instrumental Version)","Ballet Meets Pop! (Instrumental Tracks)","The International Contemporary Dance Ensemble",2014-09-12,227000,0,false,,2018-12-24T12:58:09Z,"ballet","Pony Music",0.65,0.617,3,-10.568,1,0.0359,0.00189,0.71,0.124,0.368,90.008,4
spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,"Payphone","Overexposed","Maroon 5;Wiz Khalifa",2021-06-20,231386,69,true,,2018-12-24T12:58:09Z,"pop,rap","Interscope Records*",0.739,0.756,4,-4.828,1,0.0393,0.0136,0,0.37,0.522,110.028,4
spotify:track:4nqxQU97VmHhn3e6a3CUWZ,"Make It Shine (Victorious Theme) (feat. Victoria Justice)","Victorious: Music From The Hit TV Show (feat. Victoria Justice)","Victorious Cast;Victoria Justice",2011-08-01,187773,56,false,,2018-12-24T12:58:09Z,"","Nickelodeon/Columbia",0.52,0.933,5,-2.884,1,0.0541,0.000137,0,0.0556,0.397,137.022,4
spotify:track:7gpy7sfWPNuOKmUNs3XQYE,"Carry On","Some Nights","fun.",2012-02-21,278373,61,false,,2018-12-24T12:58:09Z,"","Fueled By Ramen",0.388,0.694,5,-5.769,1,0.0735,0.118,0.000293,0.082,0.365,145.434,5
spotify:track:1X1DWw2pcNZ8zSub3uhlNz,"Hall of Fame (feat. will.i.am)","#3","The Script;will.i.am",2012-10-09,202530,69,false,,2018-12-24T12:58:09Z,"","Epic/Phonogenic",0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,4
spotify:track:3DamFFqW32WihKkTVlwTYQ,"Fireflies","Ocean Eyes","Owl City",2009-01-01,228346,80,false,,2018-12-24T12:58:09Z,"","Universal Records",0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,4
spotify:track:05pKAafT85jeeNhZ6kq7HT,"I Won't Give Up","I Won't Give Up","Jason Mraz",2012-01-03,240165,59,false,,2018-12-24T12:58:09Z,"soft pop,acoustic pop","Atlantic Records",0.585,0.303,4,-10.058,1,0.0398,0.694,0,0.115,0.142,136.703,3
spotify:track:28cUfBoNp0BrrConW5QOVU,"Payphone","Violin Covers Pt. I","Daniel Jang",2014-01-10,231288,0,false,,2018-12-24T12:58:09Z,"","Loudr",0.566,0.785,7,-4.349,1,0.0315,0.00102,0.0722,0.337,0.293,109.985,4
spotify:track:3bIxTsfeNMO7Nt2J3EUKrA,"22","Red (Deluxe Edition)","Taylor Swift",2012-10-22,230133,54,false,,2018-12-24T12:58:09Z,"","Taylor Swift",0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,4
spotify:track:5XRHGXut00SrJUFmcn2lQF,"All The Right Moves","Waking Up","OneRepublic",2009-01-01,238000,70,false,,2018-12-24T12:58:09Z,"soft pop","Mosley / Interscope",0.529,0.948,0,-3.527,1,0.0474,0.258,0.00000935,0.283,0.65,146.024,4
