Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4H6s1mTZcjHAMU36ZF3Xoz,"Nothing Without Your Love","Echo","Jin",2025-05-16,176126,70,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.494,0.837,7,-4.18,1,0.0616,0.00907,0,0.0925,0.246,129.843,4
spotify:track:3XYRV7ZSHqIRDG87DKTtry,"Permission to Dance","Permission to Dance","BTS",2021-07-23,187585,74,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.702,0.741,9,-5.33,1,0.0427,0.00544,0,0.337,0.646,124.925,4
spotify:track:0skYUMpS0AcbpjcGsAbRGj,"Pink Venom","Pink Venom","BLACKPINK",2022-08-19,186964,65,false,,1970-01-01T00:00:00Z,"k-pop","YG Entertainment/Interscope Records",0.798,0.697,0,-7.139,1,0.0891,0.0202,0,0.259,0.745,90.031,4
spotify:track:0VE4kBnHJUgtMf0dy6DRmW,"Getaway Car","reputation","Taylor Swift",2017-11-10,233626,79,false,,1970-01-01T00:00:00Z,"","Taylor Swift",0.562,0.689,2,-6.745,1,0.127,0.00465,0.00000223,0.0888,0.351,172.054,4
spotify:track:1z5ebC9238uGoBgzYyvGpQ,"toxic till the end","rosie","ROSÉ",2024-12-06,156685,82,false,,1970-01-01T00:00:00Z,"k-pop","Atlantic Records",0.413,0.604,7,-5.628,1,0.0999,0.0498,0,0.114,0.296,167.232,4
spotify:track:0h7QMc9ZRzA9QJrbEHytn2,"The Astronaut","The Astronaut","Jin",2022-10-28,282463,69,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.54,0.761,5,-5.356,1,0.0311,0.00446,0.0000025,0.137,0.215,124.988,4
spotify:track:4a9tbd947vo9K8Vti9JwcI,"Boy With Luv (feat. Halsey)","MAP OF THE SOUL : PERSONA","BTS;Halsey",2019-04-12,229773,77,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.645,0.862,11,-4.761,0,0.0845,0.0933,0,0.193,0.803,119.947,4
spotify:track:2fPvQfGQEZOKtJ9qXeL4x8,"I Can Do It With a Broken Heart","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","Taylor Swift",2024-04-19,218004,72,true,,1970-01-01T00:00:00Z,"","Taylor Swift",0.701,0.751,0,-8.39,1,0.0502,0.123,0,0.15,0.22,129.994,4
spotify:track:4d1CG5ei1E2vGbvmgf5KKv,"This Love (Taylor’s Version)","This Love (Taylor’s Version)","Taylor Swift",2022-05-06,250100,69,false,,1970-01-01T00:00:00Z,"","Taylor Swift",0.47,0.494,4,-8.672,1,0.0349,0.302,0,0.0672,0.0524,144.039,4
spotify:track:50zAEIE4B1QqhPjRMK2Xmh,"Running Wild","Happy - :') (Remixes)","Jin",2024-11-19,151646,68,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.487,0.711,8,-4.22,1,0.0322,0.000175,0,0.152,0.317,146.921,4
spotify:track:6dWHuepkdl6x7bVxq8kg9K,"Permission to Dance (Instrumental)","Permission to Dance","BTS",2021-07-23,187585,35,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.75,0.655,11,-7.137,0,0.0495,0.000201,0.785,0.0689,0.406,125.026,4
spotify:track:1GAAUZBTaIM1LwNpOJQJrZ,"Boy With Luv - Japanese ver.","MAP OF THE SOUL : 7 ~ THE JOURNEY ~","BTS",2020-07-14,230013,44,false,,1970-01-01T00:00:00Z,"k-pop","Universal Music LLC",0.673,0.855,11,-4.65,0,0.089,0.0661,0,0.209,0.78,119.917,4
spotify:track:6GXgd1BPD9bUpqw5AntGV5,"All You Had To Do Was Stay (Taylor's Version)","1989 (Taylor's Version)","Taylor Swift",2023-10-26,193289,65,false,,1970-01-01T00:00:00Z,"","Taylor Swift",0.589,0.713,0,-5.614,1,0.0308,0.000778,0,0.188,0.54,97.069,4
spotify:track:12wSL3tGk3MtbDEhfG7xy3,"You'll Always Find Your Way Back Home","Hannah Montana The Movie","Hannah Montana",2009-01-01,224186,64,false,,1970-01-01T00:00:00Z,"","Walt Disney Records",0.577,0.906,8,-3.673,1,0.0583,0.0304,0,0.189,0.692,152.946,4
spotify:track:75W3SngKzTuoQ94uLf3y82,"How You Get The Girl (Taylor's Version)","1989 (Taylor's Version)","Taylor Swift",2023-10-26,247533,63,false,,1970-01-01T00:00:00Z,"","Taylor Swift",0.761,0.67,5,-5.956,1,0.0537,0.00198,0.0000108,0.0873,0.519,120.014,4
spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,"Payphone","Overexposed","Maroon 5;Wiz Khalifa",2021-06-20,231386,69,true,,1970-01-01T00:00:00Z,"pop,rap","Interscope Records*",0.739,0.756,4,-4.828,1,0.0393,0.0136,0,0.37,0.522,110.028,4
spotify:track:2qSkIjg1o9h3YT9RAgYN75,"Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,86,true,,1970-01-01T00:00:00Z,"pop","Island Records",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
