Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2Rk4JlNc2TPmZe2af99d45,"ME! (feat. Brendon Urie of Panic! At The Disco)","Lover","Taylor Swift;Brendon Urie;Panic! At The Disco",2019-08-23,193000,73,false,,2020-11-27T12:32:43Z,"emo","Taylor Swift",0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,4
spotify:track:1hwdPQtFHISvZ9SXMkNrIK,"A Whole New World","Aladdin Special Edition","Lea Salonga;Brad Kane;Disney",2004-01-01,160800,68,false,,2020-11-27T12:32:43Z,"","Walt Disney Records",0.285,0.227,0,-15.793,1,0.0354,0.846,0.00000211,0.1,0.135,115.8,4
spotify:track:7LP4Es66zdY7CyjepqmvAg,"Down","All Or Nothing","Jay Sean;Lil Wayne",2009-01-01,212106,4,false,,2020-11-27T12:32:43Z,"rap,hip hop","Cash Money",0.657,0.695,2,-4.493,1,0.0321,0.0108,0,0.0822,0.683,65.997,4
spotify:track:65fpYBrI8o2cfrwf2US4gq,"Rewrite The Stars","The Greatest Showman (Original Motion Picture Soundtrack)","Zac Efron;Zendaya",2017-12-08,217440,73,false,,2020-11-27T12:32:43Z,"musicals","Atlantic Records",0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,4
spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,"Payphone","Overexposed","Maroon 5;Wiz Khalifa",2021-06-20,231386,69,true,,2020-11-27T12:32:43Z,"pop,rap","Interscope Records*",0.739,0.756,4,-4.828,1,0.0393,0.0136,0,0.37,0.522,110.028,4
spotify:track:4Xbotg4PCLJw9cDx2dtZLK,"Some Things Never Change","Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)","Kristen Bell;Idina Menzel;Josh Gad;Jonathan Groff;Cast of Frozen 2",2019-11-15,209964,66,false,,2020-11-27T12:32:43Z,"musicals","Walt Disney Records",0.567,0.543,5,-4.485,1,0.0313,0.613,0,0.106,0.299,89.937,4
spotify:track:6epn3r7S14KUqlReYr77hA,"Baby","My World 2.0","Justin Bieber;Ludacris",2010-01-01,214240,85,false,,2020-11-27T12:32:43Z,"southern hip hop","RBMG/Def Jam",0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,4
spotify:track:273dCMFseLcVsoSWx59IoE,"Bad Blood","1989","Taylor Swift",2014-10-27,211933,66,false,,2020-11-27T12:32:43Z,"","Taylor Swift",0.65,0.802,7,-6.114,1,0.181,0.0871,0.00000654,0.148,0.295,170.146,4
spotify:track:1rqqCSm0Qe4I9rUvWncaom,"High Hopes","Pray for the Wicked","Panic! At The Disco",2018-06-22,190946,82,false,,2020-11-27T12:32:43Z,"emo","DCD2 / Fueled By Ramen",0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
spotify:track:70b5Sq3ePOu3Gqg0hjlOtR,"For the First Time in Forever - From ""Frozen""/Soundtrack Version","Frozen (Original Motion Picture Soundtrack / Deluxe Edition)","Kristen Bell;Idina Menzel",2013-01-01,225080,69,false,,2020-11-27T12:32:43Z,"musicals","Walt Disney Records",0.354,0.411,0,-6.018,1,0.0344,0.815,0,0.106,0.43,90.813,4
spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,"Party In The U.S.A.","The Time Of Our Lives","Miley Cyrus",2009-01-01,202066,77,false,,2020-11-27T12:32:43Z,"","Hollywood Records",0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
spotify:track:0LuPcxGB0VqcwgVzAixYMv,"Reflection - Epic Version","Mulan: Epic Collection","Samuel Kim",2020-01-25,165963,0,false,,2020-11-27T12:32:43Z,"anime","© Samuel Kim Music",0.23,0.441,6,-9.635,0,0.0405,0.685,0.631,0.111,0.0744,79.905,4
spotify:track:28UMEtwyUUy5u0UWOVHwiI,"I'll Make a Man Out of You","Mulan (Original Soundtrack)","Donny Osmond;Chorus - Mulan;Disney",1998-01-01,201680,73,false,,2020-11-27T12:32:43Z,"","Walt Disney Records",0.672,0.322,7,-17.669,1,0.0339,0.144,0.0000296,0.074,0.496,113.852,4
spotify:track:50WeOnXhM1H7AZEeIDoWfZ,"Show Yourself","Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)","Idina Menzel;Evan Rachel Wood",2019-11-15,260906,71,false,,2020-11-27T12:32:43Z,"musicals","Walt Disney Records",0.321,0.432,6,-7.071,1,0.03,0.726,0.0000908,0.0607,0.172,123.304,4
spotify:track:12tUCBq7V9qCF8qGOLpcnu,"Love Somebody","Overexposed (Deluxe)","Maroon 5",2012-01-01,229826,54,false,,2020-11-27T12:32:43Z,"pop","Interscope Records*",0.675,0.79,1,-6.295,1,0.0369,0.129,0,0.121,0.423,120.015,4
spotify:track:32OlwWuMpZ6b0aN2RZOeMS,"Uptown Funk (feat. Bruno Mars)","Uptown Special","Mark Ronson;Bruno Mars",2015-01-12,269658,86,false,,2020-11-27T12:32:43Z,"","Columbia",0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,4
