Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4MsUsFfWseB9M2plGJyuIw,"ME! (feat. Brendon Urie of Panic! At The Disco)","ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift;Brendon Urie;Panic! At The Disco",2019-04-26,193040,8,false,,2019-12-12T22:18:08Z,"emo","Republic Records",0.614,0.839,0,-4.143,1,0.0702,0.0291,0,0.112,0.657,182.123,4
spotify:track:65fpYBrI8o2cfrwf2US4gq,"Rewrite The Stars","The Greatest Showman (Original Motion Picture Soundtrack)","Zac Efron;Zendaya",2017-12-08,217440,73,false,,2019-12-12T22:18:08Z,"musicals","Atlantic Records",0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,4
spotify:track:7LP4Es66zdY7CyjepqmvAg,"Down","All Or Nothing","Jay Sean;Lil Wayne",2009-01-01,212106,4,false,,2019-12-12T22:18:08Z,"rap,hip hop","Cash Money",0.657,0.695,2,-4.493,1,0.0321,0.0108,0,0.0822,0.683,65.997,4
spotify:track:5viFjDGTnrApmUY5c8qkfw,"A Whole New World","Aladdin (Original Motion Picture Soundtrack)","Mena Massoud;Naomi Scott",2019-05-22,175593,64,false,,2019-12-12T22:18:08Z,"","Walt Disney Records",0.395,0.375,0,-7.948,1,0.034,0.225,0,0.145,0.131,121.04,4
spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,"Payphone","Overexposed","Maroon 5;Wiz Khalifa",2021-06-20,231386,69,true,,2019-12-12T22:18:08Z,"pop,rap","Interscope Records*",0.739,0.756,4,-4.828,1,0.0393,0.0136,0,0.37,0.522,110.028,4
spotify:track:6epn3r7S14KUqlReYr77hA,"Baby","My World 2.0","Justin Bieber;Ludacris",2010-01-01,214240,85,false,,2019-12-12T22:18:08Z,"southern hip hop","RBMG/Def Jam",0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,4
spotify:track:1KtpKMvi42EVZDgooKgdUk,"Dynamite","A.N.T. Farm","China Anne McClain",2011-10-11,161466,47,false,,2019-12-12T22:18:08Z,"","Walt Disney Records",0.676,0.779,6,-3.493,1,0.0656,0.182,0,0.0352,0.511,122.026,4
spotify:track:1rqqCSm0Qe4I9rUvWncaom,"High Hopes","Pray for the Wicked","Panic! At The Disco",2018-06-22,190946,82,false,,2019-12-12T22:18:08Z,"emo","DCD2 / Fueled By Ramen",0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
spotify:track:47BBI51FKFwOMlIiX6m8ya,"I Want It That Way","Millennium","Backstreet Boys",1999-05-18,213306,85,false,,2019-12-12T22:18:08Z,"","Jive",0.689,0.694,6,-5.83,0,0.027,0.257,0,0.148,0.482,99.039,4
spotify:track:4NAmRvqSITAAzKWnC8yRq3,"Everything Has Changed","Red","Taylor Swift;Ed Sheeran",2012-10-22,243933,54,false,,2019-12-12T22:18:08Z,"soft pop","Taylor Swift",0.624,0.458,6,-6.755,1,0.0287,0.36,0.00000389,0.303,0.436,80.017,4
