Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2Rk4JlNc2TPmZe2af99d45,"ME! (feat. Brendon Urie of Panic! At The Disco)","Lover","Taylor Swift;Brendon Urie;Panic! At The Disco",2019-08-23,193000,73,false,,1970-01-01T00:00:00Z,"emo","Taylor Swift",0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,4
spotify:track:3sP3c86WFjOzHHnbhhZcLA,"Give Your Heart a Break","Unbroken","Demi Lovato",2011-01-01,205346,73,false,,1970-01-01T00:00:00Z,"","Hollywood Records",0.651,0.695,6,-3.218,1,0.0487,0.23,0,0.144,0.569,123.008,4
spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,"Payphone","Overexposed","Maroon 5;Wiz Khalifa",2021-06-20,231386,69,true,,1970-01-01T00:00:00Z,"pop,rap","Interscope Records*",0.739,0.756,4,-4.828,1,0.0393,0.0136,0,0.37,0.522,110.028,4
spotify:track:65fpYBrI8o2cfrwf2US4gq,"Rewrite The Stars","The Greatest Showman (Original Motion Picture Soundtrack)","Zac Efron;Zendaya",2017-12-08,217440,73,false,,1970-01-01T00:00:00Z,"musicals","Atlantic Records",0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,4
spotify:track:1mea3bSkSGXuIRvnydlB5b,"Viva La Vida","Viva La Vida or Death and All His Friends","Coldplay",2008-06-06,242373,88,false,,1970-01-01T00:00:00Z,"","Parlophone UK",0.486,0.617,5,-7.115,0,0.0287,0.0954,0.00000323,0.109,0.417,138.015,4
spotify:track:6cmm1LMvZdB5zsCwX5BjqE,"Down","All Or Nothing","Jay Sean;Lil Wayne",2009-01-01,212506,82,false,,1970-01-01T00:00:00Z,"rap,hip hop","Cash Money",0.727,0.68,2,-4.498,1,0.0286,0.0101,0,0.0821,0.728,132.012,4
spotify:track:1X1DWw2pcNZ8zSub3uhlNz,"Hall of Fame (feat. will.i.am)","#3","The Script;will.i.am",2012-10-09,202530,69,false,,1970-01-01T00:00:00Z,"","Epic/Phonogenic",0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,4
spotify:track:4fbIXctGOQTxkcdsMtQT1N,"Treat You Better","Treat You Better","Kurt Hugo Schneider;Sam Tsui;Casey Breves",2016-09-08,190843,17,false,,1970-01-01T00:00:00Z,"","mudhutdigital.com",0.333,0.659,10,-7.642,0,0.121,0.365,0,0.288,0.625,78.968,4
spotify:track:5M0j0DvBgr65ucv46jxkzE,"Viva La Vida","Music","David Garrett",2012,255336,44,false,,1970-01-01T00:00:00Z,"classical crossover,classical","Decca (UMO)",0.589,0.442,8,-7.113,1,0.0396,0.146,0.808,0.0978,0.515,137.983,4
spotify:track:40LYL1Z6xgCn5cBybo5K0D,"It's Quiet Uptown","Hamilton (Original Broadway Cast Recording)","Renée Elise Goldsberry;Lin-Manuel Miranda;Phillipa Soo;Original Broadway Cast of Hamilton",2015-09-25,270171,65,false,,1970-01-01T00:00:00Z,"musicals","Atlantic Records",0.484,0.187,5,-14.076,1,0.0423,0.796,0,0.0785,0.227,129.753,4
spotify:track:6epn3r7S14KUqlReYr77hA,"Baby","My World 2.0","Justin Bieber;Ludacris",2010-01-01,214240,85,false,,1970-01-01T00:00:00Z,"southern hip hop","RBMG/Def Jam",0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,4
spotify:track:4F4zJvJMXjMKdgwWI9WFMT,"If I Die Young","If I Die Young","Sam Tsui",2010-12-06,189090,18,false,,1970-01-01T00:00:00Z,"","mudhutdigital.com",0.644,0.461,0,-6.862,1,0.0301,0.149,0,0.376,0.291,132.009,4
spotify:track:3DamFFqW32WihKkTVlwTYQ,"Fireflies","Ocean Eyes","Owl City",2009-01-01,228346,80,false,,1970-01-01T00:00:00Z,"","Universal Records",0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,4
spotify:track:2tJulUYLDKOg9XrtVkMgcJ,"Grenade","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,222091,79,false,,1970-01-01T00:00:00Z,"","Atlantic Records",0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,4
spotify:track:6NlZ5XiTDSXrVaAEW1q4x9,"A Whole New World","A Whole New World","Kurt Hugo Schneider;Shirley Setia",2018-07-15,159543,10,false,,1970-01-01T00:00:00Z,"bollywood,hindi pop","mudhutdigital.com",0.257,0.445,5,-8.683,1,0.0422,0.695,0,0.131,0.404,173.632,3
